iter,Prob,w01,w02,w03,w04,w05,w06,w07,w08,w09,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,Fobj
1,Q01A,0.0034420617525458383,0.012360805591996473,0.9846952189892659,0.13569079249699342,0.5464970831737739,4.417480425972758e-05,0.014035071751146705,0.9629252494778844,0.10966399553104,8.166624326117443e-05,0.01844025376243997,0.9093840145323677,0.9414968814865727,0.6276208898536685,0.7083158766747705,0.5744010203140038,0.7449911845694606,0.8399079211299356,0.48108141355072676,0.0012389779778324802
2,Q01B,0.022031986557906898,0.0019277812123507793,0.9518339245414476,0.21277678836607433,0.35396830456250183,0.014601122274988434,0.03748876063927449,0.8216191016310634,0.3273716213640686,0.025142316643979895,0.4112430568650434,0.2589542960885846,0.5416656325503969,0.8614349988721773,0.7011573164084957,0.8510919757584373,0.7231841233319187,0.05985311006513373,0.950968933200503,6.210718877459024
3,Q01CA,0.18729523789266594,0.123495881361022,0.19676435427601022,0.004141257189257189,0.6869778555340541,0.0013223083024770663,0.06088706344731291,0.5202715106220945,0.7372547708954258,0.0005014651355575854,0.005242551029664595,0.7524383527046634,0.9878889819697765,0.11439322247871361,0.43096457740117283,0.005864388918432918,0.9925699524204079,0.9917425156403222,0.4667847242095605,0.0403149180271931
4,Q01CB,0.0990922847034046,0.004552172624125454,0.9025915425272912,0.3712596212511259,0.6213214782656926,0.025224976586730268,0.35849013377598504,0.15406389744536778,0.7260401281064472,0.07397669470329696,0.42326075481570025,0.315491148546906,0.7262557168258372,0.7686317683442305,0.41696563871011844,0.9759295883509655,0.9816764039591352,0.5169893774201958,0.33930475571600593,6.919082865083013
5,Q01D,0.0048516883585954206,0.1520267624291121,0.9979006462212201,0.5993169034865822,0.7003568567231742,3.9820724656820344e-05,0.014275711116157597,0.7618985659471964,0.3927687662129527,0.5005159453841381,0.5830899152558194,0.24795629187786172,0.26694621055363943,0.34624561847248086,0.19837383485784466,0.9997655587886913,0.899251953449256,0.7946093359130174,0.743188848996766,0.01697232910321097
6,Q01E,0.07160805946904386,0.1295832599180485,0.5750665458672866,0.010664062664647748,0.5707607792091851,6.080580044173394e-06,0.5887044224405429,0.38151990253277634,0.5652142652940471,0.007371522919389672,0.7942360427232481,0.8547740258494715,0.7717815106952817,0.14882219889320356,0.6834726739792065,0.06924168466896592,0.019184673926993016,0.2885002639905153,0.6804656152690114,0.05254856621882804
7,Q01A,0.003637234328229714,0.012486829673048289,0.9965289343888205,0.060499750645846374,0.617079093676226,1.706635707210819e-05,0.019739862014766768,0.9710945830926826,0.5113899730151352,0.007643024029712996,0.016373393303417666,0.8781249157883366,0.428939529657699,0.6805616090111322,0.5372501849904493,0.5827980480450843,0.5822645082038104,0.5068721933815217,0.9867097843102354,0.0012288171164553236
8,Q01B,0.004648421174833717,0.002342138505668223,0.7433160004154883,0.15668664521393744,0.8658898749279418,0.0018161762062626954,0.25719209138182536,0.8302266833624932,0.699230719805279,0.03576576856365231,0.7221083046800184,0.7214403885615195,0.7763225445325076,0.8193550974453447,0.8579586749327217,0.93510634599378,0.4296406707449164,0.8243412042988152,0.2627366809493582,6.183035514862597
9,Q01CA,0.11651238702471216,0.05863638750689072,0.09774165255053678,0.0015611313534221825,0.4297542983874244,0.001995774844475785,0.01913187846562666,0.6098359419745576,0.6310879377895146,0.000992489660222546,0.003445911103062976,0.9866249407559822,0.8287979106381674,0.4359879710211661,0.6307197737381462,0.002407809426968388,0.983021738890648,0.997875694212787,0.5028910804115395,0.04036767399097294
10,Q01CB,0.1378415140833886,0.004185345249831567,0.9669915014255741,0.25692603561364175,0.4335341368716144,0.010811844806065635,0.1426456534065405,0.12533585884317772,0.09100574567481745,0.047453392433060904,0.2966791602407451,0.7176878731700828,0.360786946731567,0.9226508139047875,0.47702140489130956,0.9185203920104454,0.8983898248093417,0.5729040849663107,0.37376676936503545,6.8376850766961415
11,Q01D,0.0050638287975582515,0.21377248899289208,0.99761913537916,0.8138264491423947,0.7626356878423197,6.873555723465677e-06,0.0003399888742093007,0.3263355327228142,0.10804372857541755,0.6870521833605888,0.6405080609138802,0.015611158248731272,0.5056272754900725,0.5082118444373344,0.0086816198433384,0.9533015170525891,0.9656768473109586,0.2690118136716055,0.7111918818789833,0.016998900285374385
12,Q01E,0.09684235470551948,0.23293758459615335,0.8855011169840434,0.023174605892174058,0.14483664753986783,5.32183123060294e-06,0.5029061946558323,0.021128134996323766,0.25503909631335614,0.002581931236705551,0.670914711188727,0.9760256242096774,0.0754046409734246,0.5076921944644119,0.04410769539114601,0.0554220015657707,0.0021767946438857756,0.22475783328094115,0.34113043631208173,0.05285487879982603
13,Q01A,0.003580373640815639,0.013417849226621275,0.9083822270598463,0.1771466546082422,0.33347022130276277,3.4205470987583565e-05,0.009329787354799238,0.9641219295785806,0.005741221984062239,0.04070900543142419,0.04429272511532796,0.9408620802383822,0.7502822285903772,0.4339810245633729,0.5975967088421557,0.4304732949888056,0.9679323554861743,0.7677102558777184,0.6295894813883396,0.0012370343857207751
14,Q01B,0.04396080159127243,0.0034187918429597268,0.9541860600709998,0.07710297003732126,0.27374327365270973,0.018286943287171162,0.01965167349215364,0.3597912786258485,0.3369697738556747,0.020950640876013234,0.5361704212042331,0.28616388367997553,0.5910061071567408,0.9699987621739828,0.6676488565080965,0.7736008975839358,0.29084780989432724,0.6190156994049361,0.5546888209229899,6.162947738118344
15,Q01CA,0.1671492035255682,0.11946447323127493,0.1834016020125945,0.025299538962906792,0.18658490726163507,0.00032449189221448393,0.04186930998336042,0.7606265621733064,0.7761205236195421,0.0004611292348950716,0.01772177978712461,0.9169686903044654,0.9164234102876412,0.09774544232473073,0.8748384263973408,0.005764719198854792,0.9373552326296819,0.9937567505480099,0.49029791740719947,0.040668717425144316
