h,Tao,Region,B_de_reglas,M_de_inf,U_de_acept,F_de_acept,x1,x2,x3,x4,x5,x6,x7,Fobj
0.5,0,1,B1,L,A,Li,0.612801031,4.999797956,1.116750691,0.546742621,0.477465722,0.731940372,1.913809542,1.277697478
0.5,0,1,B1,M,A,Li,0.511127645,4.994906027,0.971311544,0.472434266,0.443579721,0.578627101,2.838625893,1.27670893
0.5,0,1,B1,L,U,Li,0.497117418,4.999998218,0.955178247,0.462640587,0.432202969,0.551282675,2.482195687,1.276419038
0.5,0,1,B1,M,U,Li,0.363672085,4.964935135,0.74205116,0.338304192,0.434049066,0.405453664,2.090629201,1.275060789
0.5,0,1,B1,L,A,Cu,0.311377295,4.999875885,0.652234857,0.278734483,0.435616251,0.325495837,3.835776471,1.275521729
0.5,0,1,B1,M,A,Cu,0.519408188,4.999650162,0.983376057,0.466795536,0.356914415,0.405841161,4.828316988,1.276227101
0.5,0,1,B1,L,U,Cu,0.372686509,4.9995847,0.697555072,0.352380794,0.409799606,0.416990743,4.960005889,1.27542194
0.5,0,1,B1,M,U,Cu,0.259719706,4.976759018,0.499480663,0.23768293,0.394042193,0.26483044,4.342481649,1.272799916
0.5,0,1,B1,L,A,Ex,0.355772865,4.999999734,0.738989293,0.321668659,0.455063889,0.404118624,2.330053163,1.276205575
0.5,0,1,B1,M,A,Ex,0.369001768,4.996186136,0.765882234,0.329453833,0.458484251,0.408347862,1.80207462,1.276597188
0.5,0,1,B1,L,U,Ex,0.46538694,4.99999471,0.87042099,0.439586224,0.436989876,0.547508777,4.987787641,1.275930604
0.5,0,1,B1,M,U,Ex,0.361250996,4.998385089,0.727036644,0.342007266,0.384862737,0.364117382,2.231441166,1.274900097
0.5,0,1,B1,L,A,Lo,0.715970904,4.99109665,1.216492475,0.655786242,0.485526615,0.917658214,2.096789631,1.27899315
0.5,0,1,B1,M,A,Lo,0.63957543,4.99846467,1.13967173,0.580805344,0.504801039,0.825314201,1.783425031,1.278877841
0.5,0,1,B1,L,U,Lo,0.381585344,4.994633226,0.96492736,0.372576846,0.603027833,0.598828345,4.260914567,1.278463013
0.5,0,1,B1,M,U,Lo,0.570459072,4.971467919,1.235519681,0.555099085,0.560319465,0.857819123,3.811785089,1.279293584
0.5,0,1,B2,L,A,Li,0.260841978,0.722005538,4.999999999,4.999999999,1.214855154,1.186568314,0.512418815,1.539064874
0.5,0,1,B2,M,A,Li,0.441990259,1.090943592,5,5,1.036908789,1.978032655,0.939638961,1.539076953
0.5,0,1,B2,L,U,Li,0.382167232,0.943176529,5,5,1.384420077,2.110437563,0.454292241,1.540323076
0.5,0,1,B2,M,U,Li,0.95183325,0.307276871,0.276944117,4.999999968,3.187440354,1.666693399,3.777451685,1.52457626
0.5,0,1,B2,L,A,Cu,1.536559985,1.572582392,0.574397576,3.414088137,3.904270378,3.784557259,3.203224768,1.390779
0.5,0,1,B2,M,A,Cu,0.343581049,0.86303309,5,5,1.351697722,1.323149814,0.555881869,1.542529064
0.5,0,1,B2,L,U,Cu,0.276608029,0.688353901,5,5,2.975358913,0.504652996,0.264133989,1.542627289
0.5,0,1,B2,M,U,Cu,0.215425915,0.575752306,4.999999999,4.999999999,3.350309504,0.30865485,0.308214738,1.542620065
0.5,0,1,B2,L,A,Ex,0.163011715,0.458272071,5,5,1.183355508,0.769773631,0.33958705,1.537473998
0.5,0,1,B2,M,A,Ex,0.370602918,0.975895106,5,5,1.037216314,1.778891897,0.815007423,1.537515841
0.5,0,1,B2,L,U,Ex,0.399182938,1.002307556,5,5,0.846147414,4.022658624,0.92632413,1.538104155
0.5,0,1,B2,M,U,Ex,0.400446067,0.985320218,5,5,1.570830201,2.110341818,0.512277101,1.53824271
0.5,0,1,B2,L,A,Lo,0.489330208,1.341541265,5,5,1.038163094,2.566730806,1.102900771,1.531011241
0.5,0,1,B2,M,A,Lo,0.408559339,1.054143873,5,5,1.022449406,2.04698173,0.939501716,1.530646718
0.5,0,1,B2,L,U,Lo,0.399251037,0.975456702,5,5,0.900828151,3.824397228,0.900704985,1.534232042
0.5,0,1,B2,M,U,Lo,0.402417497,0.972263903,4.999999999,5,0.751102493,4.581528602,1.107134898,1.534322647
0.5,0,2,B1,L,A,Li,0.717219655,3.792207963,1.493189942,0.436427206,0.476310758,0.149647351,4.921145433,0.945008112
0.5,0,2,B1,M,A,Li,0.639800571,2.437269913,1.05477826,0.356816777,0.521803314,0.128496513,4.716951631,0.94324207
0.5,0,2,B1,L,U,Li,0.558863088,4.712125243,1.142038086,0.301466025,0.532063359,0.073014504,4.463870221,0.945419816
0.5,0,2,B1,M,U,Li,0.520979293,3.202052018,1.017278682,0.313308722,0.559223994,0.10300205,4.86527608,0.937792887
0.5,0,2,B1,L,A,Cu,1.479329957,0.670063361,0.468683323,0.912051462,0.537237272,0.770835923,4.95720388,0.947582829
0.5,0,2,B1,M,A,Cu,1.430076105,0.538633363,0.388951113,0.82815425,0.553653721,0.705421356,4.876299173,0.944863357
0.5,0,2,B1,L,U,Cu,0.93661817,0.491978644,0.354095692,0.609612243,0.476781803,0.423585253,4.733566652,0.95327892
0.5,0,2,B1,M,U,Cu,0.871835065,0.808926975,0.565058052,0.549269958,0.287613198,0.241921226,4.453410065,0.9526889
0.5,0,2,B1,L,A,Ex,1.30986326,0.548626606,0.378234237,0.698638712,0.517333703,0.44740774,4.991963304,0.949751215
0.5,0,2,B1,M,A,Ex,1.360916679,0.788102762,0.548026222,0.851642408,0.504161013,0.624960387,4.931254195,0.950414474
0.5,0,2,B1,L,U,Ex,1.915495889,1.9598519,1.340970626,1.200688928,0.175040273,0.282095096,4.922983017,0.952949319
0.5,0,2,B1,M,U,Ex,1.364029493,1.309844481,0.894075001,0.864149559,0.26286908,0.306613655,4.961743801,0.950927187
0.5,0,2,B1,L,A,Lo,0.999181997,4.865426427,1.324915643,0.600392121,0.567492274,0.205273199,4.940575536,0.932892773
0.5,0,2,B1,M,A,Lo,1.054697931,4.985559645,1.360287951,0.622063186,0.564058292,0.203905758,4.990898774,0.931929571
0.5,0,2,B1,L,U,Lo,0.693967134,4.93029934,0.895370306,0.390512347,0.660052542,0.068252445,4.852017787,0.925539527
